commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
6a1c808,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
4187de2,10.77,0.3488,discard,SparseBasisPursuitV1,"Greedy sparse basis pursuit over linear, hinge, quadratic, abs, and limited interaction terms with explicit symbolic equation output"
4902cf2,,0.4419,crash,GreedyKnotAdditiveV1,Greedy sparse additive regressor selecting up to 4 features with linear or one-knot hinge terms from quantile-based thresholds
c1f423d,10.43,0.5116,discard,SparseSymbolicAdditiveV2,Greedy forward-selected sparse symbolic additive model over linear/quadratic/abs/hinge terms plus limited pairwise interactions with explicit equation output
a09b286,9.69,0.3256,,ResidualRuleLinearV1,Sparse z-scored linear backbone plus greedy one-dimensional residual step rules with explicit threshold-and-offset representation
e3c08ae,9.92,0.2093,discard,SparseHingeInteractionV1,"Forward-selected sparse symbolic model over z-scored linear, one-knot hinge, and limited pairwise interaction terms with explicit equation output"
c2a425b,12.32,0.5814,discard,RawSymbolicFSV1,"Forward-selected compact symbolic model on raw features using linear, signed hinge, absolute-value, and sparse pairwise interaction terms"
e031a88,nan,0.6279,crash,OrthoSymbolicV1,"Orthogonal forward-selected sparse symbolic regressor on raw features with linear, one-sided hinge, quadratic, and limited interaction terms"
