commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
5a20cfe,10.72,0.6744,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
d3246f0,7.48,0.3023,discard,SparseHingeAdd_v1,"Sparse additive regressor with standardized linear and hinge basis terms selected by L1, then OLS refit"
3d3758e,11.54,0.4884,discard,SparseSymbolicGreedy_v1,"Greedy sparse symbolic regressor using linear, hinge, square, and interaction terms with compact equation output"
5ce4dec,9.28,0.4186,discard,AnchorSplineOMP_v1,"Forward-selected compact equation with linear, hinge, square, and limited interaction terms optimized for readable simulation"
15362c5,8.77,0.4884,discard,ResidualKnotRidge_v1,Ridge linear backbone with greedily selected residual hinge corrections and compact equation-oriented string output
0b3ddb7,10.02,0.5814,discard,SplitSparseLinear_v1,Single-split sparse linear model tree with branch-specific equations and explicit simulation-friendly rule output
3f88e23,12.97,0.5116,discard,SparseKnotLinear_v2,Sparse ridge linear backbone with a single data-driven hinge knot term for compact threshold-aware equations
5ac0424,12.82,0.5581,discard,CompactResidualSpline_v1,Greedy compact equation: sparse linear backbone plus up to two residual hinge atoms with joint ridge refits
63f9575,12.35,0.5116,discard,SparseAdditiveKnot_v1,Greedy sparse additive one-knot-per-feature model with explicit piecewise slopes and direct simulation equation
