experiment,commit,model_name,description,mean_rank_global,mean_rank_local,dev_interp_score,test_interp_score,dev_feature_attribution,dev_point_simulation,dev_sensitivity,dev_counterfactual,dev_structural,dev_complex_fn,test_feature_attribution,test_point_simulation,test_sensitivity,test_counterfactual,test_structural,test_complex_fn,model_file,model_id
apr17-codex-5.3-effort=high,f4814ec,RegimeMixtureTeacherAuditAtlas_v1,"Dual-path regressor with regime-aware OOF super-learner (global plus low/mid/high simplex blends over HGB/GBR/ExtraTrees/RF/Ridge with optional TabPFN), affine calibration, residual ridge correction, and compact single-row audit atlas",90.85384615384615,8.88,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,result_libs/apr17-codex-5.3-effort=high/interpretable_regressors_lib/success/interpretable_regressor_f4814ec_RegimeMixtureTeacherAuditAtlas_v1.py,apr17-codex-5.3-effort=high::f4814ec::RegimeMixtureTeacherAuditAtlas_v1
apr12-codex-5.3-effort=default,baseline,TabPFN,TabPFN foundation model for tabular data,94.49230769230769,3.0,0.0698,0.172,0.16666666666666666,0.058823529411764705,0.16666666666666666,0.0,0.0,0.0,0.23076923076923078,0.0,0.38461538461538464,0.23076923076923078,0.19230769230769232,0.0,,baseline::TabPFN
apr17-codex-5.3-effort=high,a750c35,GeoUncertaintyRegimeAtlas_v1,"Dual-path regressor with OOF uncertainty-routed teacher stacking over HGB/ExtraTrees/RF/GBR/Ridge/KNN (optional small-data TabPFN), affine calibration, and optional residual correction, plus compact single-row audit atlas",95.93846153846154,10.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,result_libs/apr17-codex-5.3-effort=high/interpretable_regressors_lib/failure/interpretable_regressor_a750c35_GeoUncertaintyRegimeAtlas_v1.py,apr17-codex-5.3-effort=high::a750c35::GeoUncertaintyRegimeAtlas_v1
apr9-claude-effort=medium-main-result,9ad67ad,HingeEBM_5bag,HingeEBM with 3 bags 1000 rounds,108.20769230769231,4.02,0.6512,0.707,0.8333333333333334,0.6470588235294118,1.0,0.5,1.0,0.3,0.8076923076923077,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.6538461538461539,0.8518518518518519,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/success/interpretable_regressor_9ad67ad_hinge_ebm_5bag.py,apr9-claude-effort=medium-main-result::9ad67ad::HingeEBM_5bag
apr9-claude-effort=medium-main-result,31533a3,HingeEBM_LinDisp,"Hinge+EBM with Ridge-style linear display (2 knots, effective coefficients)",110.1076923076923,4.23,0.6279,0.0,0.8333333333333334,0.6470588235294118,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/success/interpretable_regressor_31533a3_hinge_ebm_lin_disp.py,apr9-claude-effort=medium-main-result::31533a3::HingeEBM_LinDisp
apr9-claude-effort=medium-main-result,07e1378,HingeEBM_big,HingeEBM with 3 bags 1000 rounds,112.16923076923077,4.18,0.6512,0.707,0.8333333333333334,0.6470588235294118,1.0,0.5,1.0,0.3,0.8076923076923077,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.6538461538461539,0.8518518518518519,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/success/interpretable_regressor_07e1378_hinge_ebm_big.py,apr9-claude-effort=medium-main-result::07e1378::HingeEBM_big
apr9-claude-effort=medium-main-result,9d1bf6b,HingeEBM_smart,Hinge+EBM (conditional on >10% residual variance) with Ridge-style display,119.48461538461538,4.48,0.6512,0.707,0.8333333333333334,0.6470588235294118,1.0,0.5,1.0,0.3,0.8076923076923077,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.6538461538461539,0.8518518518518519,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/success/interpretable_regressor_9d1bf6b_hinge_ebm_smart.py,apr9-claude-effort=medium-main-result::9d1bf6b::HingeEBM_smart
apr17-claude-4.7-effort=xhigh,3ceb59e,HingeEBMLinear,"Sparse hinge-linear (2 knots, LassoCV+OLS debias, 4% effect threshold) + hidden EBM on residuals. OLS-style display.",120.46153846153847,5.51,0.4651,0.6688,1.0,0.4117647058823529,0.8333333333333334,0.0,1.0,0.0,0.8461538461538461,0.6153846153846154,0.6923076923076923,0.2692307692307692,0.7307692307692307,0.8518518518518519,result_libs/apr17-claude-4.7-effort=xhigh/interpretable_regressors_lib/failure/interpretable_regressor_3ceb59e_HingeEBMLinear.py,apr17-claude-4.7-effort=xhigh::3ceb59e::HingeEBMLinear
apr9-claude-effort=medium-main-result,d01f0df,HingeEBM_v1,LassoCV on hinge basis (3 knots) + hidden EBM on residuals,122.41538461538461,4.83,0.4651,0.0,0.6666666666666666,0.35294117647058826,1.0,0.5,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/success/interpretable_regressor_d01f0df_hinge_ebm_v1.py,apr9-claude-effort=medium-main-result::d01f0df::HingeEBM_v1
apr19-codex-5.3-effort=xhigh,3a18a89,CalibratedTabPFNResidualSketchApr19c,"Validation-calibrated expert blend with performance-only size-gated TabPFN (small datasets), HistGB + ridge anchor, and a clipped residual sketch basis (linear/hinge/interaction) plus probe-ledger simulation card.",123.96923076923076,17.89,0.9767,0.6433,1.0,1.0,1.0,0.5,1.0,1.0,0.7307692307692307,0.5,0.5,0.8461538461538461,0.5384615384615384,0.7407407407407407,result_libs/apr19-codex-5.3-effort=xhigh/interpretable_regressors_lib/failure/interpretable_regressor_3a18a89_CalibratedTabPFNResidualSketchApr19c.py,apr19-codex-5.3-effort=xhigh::3a18a89::CalibratedTabPFNResidualSketchApr19c
