commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
6a1c808,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
65beac0,9.00,0.5814,discard,SparseAddHinge_v1,"Sparse additive hinge basis with quantile thresholds, L1 selection, and top-term refit"
4c983d3,9.58,0.5581,discard,ResidualRuleLin_v1,Greedy sparse linear backbone with residual quantile-threshold rule corrections
399a3ba,9.55,0.4884,discard,SparseSymAdd_v2,"Greedy sparse symbolic additive model over linear, hinge, quadratic, and limited interaction basis terms"
b945c68,10.94,0.3256,discard,StagewisePiece_v1,Sparse stagewise standardized linear model with a tiny residual one-threshold step-rule layer
87a7126,10.08,0.5581,discard,SparseRootLin_v1,Greedy sparse additive model over standardized linear and signed-root terms with one optional interaction
dd9f1d2,nan,0.0000,crash,SparseTailHinge_v1,Greedy sparse additive model selecting per-feature linear or symmetric tail-hinge groups with quantile knots
9c5e8ae,12.31,0.4186,discard,SparseTailHinge_v2,Greedy sparse additive model selecting per-feature linear or symmetric tail-hinge groups with quantile knots (cache-reset run)
8b1563c,16.54,0.3721,discard,MonoBinAdd_v1,"Sparse additive model with one monotone quantile-binned shape per selected feature, fit greedily on residuals then OLS-refit"
